method,provider_id,provider_name,transport_type,success_rate,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,total_calls,last_updated
eth_getTransactionReceipt,ethereum_llamarpc,LlamaRPC,ws,1,103,123,123,229,114.75,12,-576458964525
eth_getTransactionReceipt,ethereum_publicnode,PublicNode Ethereum,ws,1,220,342,342,342,281,2,-576459007299
eth_getTransactionReceipt,0xrpc_ethereum,0xRPC Ethereum,http,1,216,591,591,636,265.6,15,-576458973326
eth_getTransactionReceipt,alchemy_ethereum,Alchemy Ethereum,http,1,96,164,168,229,111.81,16,-576458983154
eth_getTransactionReceipt,ethereum_chainstack,Chainstack Ethereum,http,1,148,232,232,261,169.5,12,-576458973759
eth_getTransactionReceipt,ethereum_cloudflare,Cloudflare Ethereum,http,1,273,512,512,607,298.83,12,-576458988666
eth_getTransactionReceipt,ethereum_drpc,DRPC Ethereum,http,1,71,90,130,130,73.22,9,-576458980227
eth_getTransactionReceipt,flashbots_ethereum,Flashbots Ethereum,http,1,123,202,202,336,154.75,12,-576458963290
eth_getTransactionReceipt,ethereum_llamarpc,LlamaRPC,http,1,110,171,250,250,131.1,10,-576459387366
eth_getTransactionReceipt,ethereum_merkle,Merkle Ethereum,http,1,106,219,219,352,132.79,14,-576458965772
eth_getTransactionReceipt,ethereum_publicnode,PublicNode Ethereum,http,1,159,194,232,232,158.78,9,-576458976388
eth_maxPriorityFeePerGas,0xrpc_ethereum,0xRPC Ethereum,ws,1,191,359,359,359,231.77,13,-576458976628
eth_maxPriorityFeePerGas,alchemy_ethereum,Alchemy Ethereum,ws,1,84,130,130,187,85.47,15,-576458971682
eth_maxPriorityFeePerGas,ethereum_chainstack,Chainstack Ethereum,ws,1,116,148,148,153,120.18,11,-576458972916
eth_maxPriorityFeePerGas,ethereum_drpc,DRPC Ethereum,ws,1,44,99,99,208,62.25,12,-576458967272
eth_maxPriorityFeePerGas,ethereum_llamarpc,LlamaRPC,ws,1,108,135,135,156,113.27,11,-576458965320
